S_No,CASE_STATUS,EMPLOYER_NAME,SOC_NAME,JOB_TITLE,FULL_TIME_POSITION,PREVAILING_WAGE,YEAR,WORKSITE,lon,Last
1,CERTIFIED-WITHDRAWN,UNIVERSITY OF MICHIGAN,BIOCHEMISTS AND BIOPHYSICISTS,POSTDOCTORAL RESEARCH FELLOW,N,36067,2016,"ANN ARBOR, MICHIGAN",-83.7430378,42.2808256
2,CERTIFIED-WITHDRAWN,"GOODMAN NETWORKS, INC.",CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,242674,2016,"PLANO, TEXAS",-96.6988856,33.0198431
3,CERTIFIED-WITHDRAWN,"PORTS AMERICA GROUP, INC.",CHIEF EXECUTIVES,CHIEF PROCESS OFFICER,Y,193066,2016,"JERSEY CITY, NEW JERSEY",-74.0776417,40.7281575
4,CERTIFIED-WITHDRAWN,"GATES CORPORATION, A WHOLLY-OWNED SUBSIDIARY OF TOMKINS PLC",CHIEF EXECUTIVES,"REGIONAL PRESIDEN, AMERICAS",Y,220314,2016,"DENVER, COLORADO",-104.990251,39.7392358
5,WITHDRAWN,PEABODY INVESTMENTS CORP.,CHIEF EXECUTIVES,PRESIDENT MONGOLIA AND INDIA,Y,157518.4,2016,"ST. LOUIS, MISSOURI",-90.1994042,38.6270025
6,CERTIFIED-WITHDRAWN,BURGER KING CORPORATION,CHIEF EXECUTIVES,"EXECUTIVE V P, GLOBAL DEVELOPMENT AND PRESIDENT, LATIN AMERI",Y,225000,2016,"MIAMI, FLORIDA",-80.1917902,25.7616798
7,CERTIFIED-WITHDRAWN,BT AND MK ENERGY AND COMMODITIES,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,91021,2016,"HOUSTON, TEXAS",-95.3698028,29.7604267
8,CERTIFIED-WITHDRAWN,"GLOBO MOBILE TECHNOLOGIES, INC.",CHIEF EXECUTIVES,CHIEF OPERATIONS OFFICER,Y,150000,2016,"SAN JOSE, CALIFORNIA",-121.8863286,37.3382082
9,CERTIFIED-WITHDRAWN,ESI COMPANIES INC.,CHIEF EXECUTIVES,PRESIDENT,Y,127546,2016,"MEMPHIS, TEXAS",NA,NA
10,WITHDRAWN,LESSARD INTERNATIONAL LLC,CHIEF EXECUTIVES,PRESIDENT,Y,154648,2016,"VIENNA, VIRGINIA",-77.2652604,38.9012225
11,CERTIFIED-WITHDRAWN,H.J. HEINZ COMPANY,CHIEF EXECUTIVES,"CHIEF INFORMATION OFFICER, HEINZ NORTH AMERICA",Y,182978,2016,"PITTSBURGH, PENNSYLVANIA",-79.9958864,40.4406248
12,CERTIFIED-WITHDRAWN,DOW CORNING CORPORATION,CHIEF EXECUTIVES,VICE PRESIDENT AND CHIEF HUMAN RESOURCES OFFICER,Y,163717,2016,"MIDLAND, MICHIGAN",-84.2472116,43.6155825
13,CERTIFIED-WITHDRAWN,ACUSHNET COMPANY,CHIEF EXECUTIVES,TREASURER AND COO,Y,203860.8,2016,"FAIRHAVEN, MASSACHUSETTS",NA,NA
14,CERTIFIED-WITHDRAWN,"BIOCAIR, INC.",CHIEF EXECUTIVES,CHIEF COMMERCIAL OFFICER,Y,252637,2016,"MIAMI, FLORIDA",-80.1917902,25.7616798
15,CERTIFIED-WITHDRAWN,NEWMONT MINING CORPORATION,CHIEF EXECUTIVES,BOARD MEMBER,Y,105914,2016,"GREENWOOD VILLAGE, COLORADO",-104.9508141,39.6172101
16,CERTIFIED-WITHDRAWN,"VRICON, INC.",CHIEF EXECUTIVES,CHIEF FINANCIAL OFFICER,Y,153046,2016,"STERLING, VIRGINIA",-77.4291298,39.0066993
17,CERTIFIED-WITHDRAWN,CARDIAC SCIENCE CORPORATION,FINANCIAL MANAGERS,VICE PRESIDENT OF FINANCE,Y,90834,2016,"WAUKESHA, WISCONSIN",-88.2314813,43.0116784
18,CERTIFIED-WITHDRAWN,WESTFIELD CORPORATION,CHIEF EXECUTIVES,"GENERAL MANAGER, OPERATIONS",Y,164050,2016,"LOS ANGELES, CALIFORNIA",-118.2436849,34.0522342
19,CERTIFIED,QUICKLOGIX LLC,CHIEF EXECUTIVES,CEO,Y,187200,2016,"SANTA CLARA, CALIFORNIA",-121.9552356,37.3541079
20,CERTIFIED,"MCCHRYSTAL GROUP, LLC",CHIEF EXECUTIVES,"PRESIDENT, NORTHEAST REGION",Y,241842,2016,"ALEXANDRIA, VIRGINIA",-77.0469214,38.8048355
21,CERTIFIED-WITHDRAWN,"CUDDLE BARN, INC.",CHIEF EXECUTIVES,CHIEF OPERATING OFFICER (COO),Y,117998,2016,"COMMERCE, CALIFORNIA",-118.1597929,34.0005691
22,CERTIFIED-WITHDRAWN,WESTFIELD CORPORATION,CHIEF EXECUTIVES,"GENERAL MANAGER, OPERATIONS",Y,164050,2016,"LOS ANGELES, CALIFORNIA",-118.2436849,34.0522342
23,CERTIFIED,"LOMICS, LLC",CHIEF EXECUTIVES,CEO,Y,99986,2016,"SAN DIEGO, CALIFORNIA",-117.1610838,32.715738
24,CERTIFIED,UC UNIVERSITY HIGH SCHOOL EDUCATION INC.,CHIEF EXECUTIVES,CHIEF FINANCIAL OFFICER,Y,99986,2016,"CHULA VISTA, CALIFORNIA",-117.0841955,32.6400541
25,CERTIFIED-WITHDRAWN,VMS COMMUNICATIONS LLC,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,159370,2016,"MIAMI, FLORIDA",-80.1917902,25.7616798
26,CERTIFIED,"QUICKLOGIX, INC.",CHIEF EXECUTIVES,CEO,Y,187200,2016,"SANTA CLARA, CALIFORNIA",-121.9552356,37.3541079
27,CERTIFIED-WITHDRAWN,FOODESSENTIALS CORPORATION,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,130853,2016,"CHICAGO, ILLINOIS",-87.6297982,41.8781136
28,CERTIFIED,HELLO INC.,CHIEF EXECUTIVES,CHIEF BUSINESS OFFICER,Y,215862,2016,"SAN FRANCISCO, CALIFORNIA",-122.4194155,37.7749295
29,CERTIFIED,UMBEL CORP,CHIEF EXECUTIVES,VICE PRESIDENT OF ENGINEERING,Y,192088,2016,"AUSTIN, TEXAS",-97.7430608,30.267153
30,CERTIFIED,"PERSPECTIVES OF FREEDOM FOUNDATION, INC",CHIEF EXECUTIVES,EXECUTIVE DIRECTOR,Y,95295.98,2016,"WESTON, FLORIDA",-80.3997748,26.1003654
31,CERTIFIED,GTH INC.,CHIEF EXECUTIVES,"VICE PRESIDENT, BUSINESS DEVELOPMENT",Y,149594,2016,"WASHINGTON, DISTRICT OF COLUMBIA",-77.0368707,38.9071923
32,CERTIFIED,THE KRAFT HEINZ COMPANY,CHIEF EXECUTIVES,HEAD OF US SALES,Y,226699,2016,"CHICAGO, ILLINOIS",-87.6297982,41.8781136
33,CERTIFIED,"REGED, INC.",CHIEF EXECUTIVES,CHIEF FINANCIAL OFFICER,Y,187200,2016,"MORRISVILLE, NORTH CAROLINA",-78.8255621,35.823483
34,CERTIFIED,VMS COMMUNICATIONS LLC,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,159370,2016,"MIAMI, FLORIDA",-80.1917902,25.7616798
35,CERTIFIED,"FINLAY EXTRACTS & INGREDIENTS USA, INC.",CHIEF EXECUTIVES,VICE PRESIDENT OF OPERATIONS,Y,98550,2016,"LINCOLN, RHODE ISLAND",-71.4418101,41.9110123
36,CERTIFIED-WITHDRAWN,LABEL INSIGHT,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,130853,2016,"CHICAGO, ILLINOIS",-87.6297982,41.8781136
37,CERTIFIED,LABEL INSIGHT,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,130853,2016,"CHICAGO, ILLINOIS",-87.6297982,41.8781136
38,CERTIFIED,INN AT THE WICKLIFFE LLC,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,N,52416,2016,"WICKLIFFE, OHIO",-81.4534492,41.6053266
39,CERTIFIED,"DURHAM SCHOOL SERVICES, LP",CHIEF EXECUTIVES,"VICE PRESIDENT, FINANCE AND OPERATIONS ANALYSIS",Y,130853,2016,"WARRENVILLE, ILLINOIS",-88.1734021,41.817807
40,DENIED,"PARALLELS, INC.",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,187200,2016,"RENTON, WASHINGTON",-122.2170661,47.4828776
41,CERTIFIED,CB LANSING 300 LLP,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,89107,2016,"LANSING, MICHIGAN",-84.5555347,42.732535
42,CERTIFIED,"SOFTTEK INTEGRATION SYSTEMS, INC.",CHIEF EXECUTIVES,ACCOUNT DIRECTOR,Y,130853,2016,"NORTHBROOK, ILLINOIS",-87.8289548,42.1275267
43,CERTIFIED,"SPARITY, INC.",CHIEF EXECUTIVES,TECHNICAL DIRECTOR,Y,102190,2016,"ALPHARETTA, GEORGIA",-84.2940899,34.0753762
44,CERTIFIED,"ADCONION DIRECT, INC.",CHIEF EXECUTIVES,VICE PRESIDENT OF OPERATIONS,Y,197683,2016,"SOLANA BEACH, CALIFORNIA",-117.2711481,32.991155
45,CERTIFIED,MAVENCARE US INC.,CHIEF EXECUTIVES,SVP BUSINESS OPERATIONS AND DEVELOPMENT,Y,122179,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
46,CERTIFIED,"THE CHICAGO ATHENAEUM: CENTER FOR ARCHITECTURE, DESIGN & URBAN STUDIES",CHIEF EXECUTIVES,EXECUTIVE DIRECTOR,N,54766,2016,"GALENA, ILLINOIS",NA,NA
47,CERTIFIED,MED ADVANTAGE LLC,CHIEF EXECUTIVES,CHIEF FINANCIAL OFFICER,Y,187200,2016,"BLOOMFIELD, NEW JERSEY",-74.1854209,40.8067546
